1,$4961.75,2019-03-24T03:20:10Z,582-84-8181
2,$42815.82,2019-03-14T12:54:21Z,669-63-3295
3,$17082.56,2019-03-24T23:41:57Z,701-39-5287
4,$14629.94,2018-08-30T08:37:25Z,359-31-9563
5,$2728.89,2018-11-16T07:26:56Z,265-42-5449
6,$11160.44,2019-08-06T00:55:31Z,449-19-4567
7,$40099.38,2018-09-25T12:15:26Z,718-30-6208
8,$47528.21,2018-11-23T17:32:30Z,462-11-2572
9,$31321.18,2019-08-05T18:13:39Z,662-98-7614
10,$37889.95,2018-10-14T07:17:07Z,822-66-5094
11,$23374.32,2019-07-03T23:52:07Z,505-29-7042
12,$5177.96,2019-06-11T20:40:37Z,691-68-2979
13,$43688.41,2018-10-22T22:33:54Z,749-26-7337
14,$12680.31,2019-01-13T08:31:38Z,471-39-7981
15,$28088.08,2019-04-15T10:53:24Z,814-61-0676
16,$33000.25,2019-05-16T22:30:56Z,304-24-9278
17,$13259.47,2018-09-06T04:47:22Z,867-68-6653
18,$17507.48,2019-06-11T19:04:52Z,800-20-3614
19,$45374.96,2019-05-09T03:37:51Z,569-10-3912
20,$28181.10,2019-06-03T18:13:38Z,406-14-0186
21,$33339.98,2019-06-27T08:22:43Z,850-11-0361
22,$42592.67,2019-04-10T07:23:41Z,619-35-4741
23,$2509.10,2019-04-29T01:08:31Z,391-58-0592
24,$19955.65,2018-09-30T11:57:07Z,274-50-4306
25,$39432.95,2018-11-13T12:39:53Z,851-62-6866
26,$27899.35,2018-11-26T05:48:32Z,404-37-9271
27,$20680.01,2019-02-14T05:08:10Z,493-67-5702
28,$7323.65,2018-10-04T09:19:13Z,179-09-8373
29,$13094.76,2019-02-25T13:19:14Z,120-56-2984
30,$3605.75,2019-01-06T03:57:13Z,293-64-0733
31,$12415.07,2019-03-09T10:59:34Z,221-36-7038
32,$40127.19,2018-12-29T21:47:17Z,761-07-2986
33,$3702.90,2018-10-04T04:18:07Z,287-02-1751
34,$42389.26,2019-06-29T18:13:09Z,128-18-8441
35,$513.16,2019-08-01T06:32:46Z,568-50-2762
36,$21633.10,2018-10-26T15:17:01Z,763-70-7701
37,$15353.02,2019-07-18T11:05:59Z,237-91-1979
38,$49165.03,2019-03-26T23:12:11Z,820-86-5893
39,$3896.03,2019-08-10T01:22:54Z,584-73-6355
40,$6363.58,2019-06-16T22:53:09Z,279-84-6581
41,$25329.29,2019-05-13T06:26:45Z,428-34-4811
42,$15802.46,2018-11-01T02:20:06Z,252-93-8529
43,$39795.07,2019-05-03T12:01:48Z,523-48-9510
44,$41936.53,2019-07-03T22:01:56Z,384-82-1201
45,$33129.27,2018-12-28T02:02:54Z,390-24-9067
46,$36326.56,2019-03-19T07:42:38Z,588-59-1234
47,$34626.73,2019-02-24T19:17:30Z,762-53-4338
48,$30412.32,2019-03-18T17:55:59Z,820-05-8006
49,$19450.12,2018-11-06T15:52:25Z,667-13-2578
50,$26705.73,2019-05-02T10:21:34Z,271-11-1144
51,$34541.91,2019-02-04T18:39:08Z,550-41-8574
52,$11512.05,2019-06-07T01:27:49Z,582-84-8181
53,$11928.39,2019-06-13T19:50:28Z,756-95-1201
54,$19701.75,2019-03-17T17:36:30Z,694-81-3382
55,$4616.84,2019-08-13T18:18:46Z,516-37-2907
56,$41677.65,2019-04-08T18:30:54Z,551-71-3158
57,$41423.58,2018-12-12T19:03:16Z,179-09-8373
58,$14176.22,2018-12-08T05:51:46Z,453-20-4020
59,$15091.69,2019-03-05T00:31:09Z,358-37-9404
60,$47614.60,2018-11-23T00:19:22Z,854-74-8114
61,$49805.72,2018-09-24T17:56:44Z,520-12-8880
62,$41283.19,2019-03-27T23:55:12Z,788-95-2760
63,$47530.01,2019-06-10T10:54:10Z,559-35-8710
64,$18835.67,2019-04-17T07:43:43Z,378-31-6140
65,$38941.61,2019-01-23T07:19:42Z,348-37-0411
66,$24864.71,2018-09-02T02:32:38Z,762-99-3909
67,$42929.31,2019-05-20T21:04:45Z,420-59-3565
68,$14498.21,2019-02-13T15:55:14Z,527-85-2833
